station,lat,lon,mean_demand,cluster_id,cluster_label
Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,10.64,2,medium
Square Viger (Berri / Viger),45.512168257695194,-73.55481594800949,10.64,2,medium
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,14.31,2,medium
St-Alexandre / Ste-Catherine,45.50527354034462,-73.5674786567688,10.29,2,medium
St-Ambroise / Louis-Cyr,45.47519326260791,-73.58094334602356,6.58,0,low
St-André /  Cherrier,45.52050169308784,-73.56770128011703,10.05,2,medium
St-André / Cherrier,45.52051578783967,-73.567695915699,9.16,0,low
St-André / Ontario,45.51889,-73.56353,7.76,0,low
St-André / Rachel,45.52409561323593,-73.57537156904073,7.23,0,low
St-André / Ste-Catherine,45.516297540849614,-73.55801045894623,15.1,2,medium
St-Antoine / Jean-Paul Riopelle,45.502993649316664,-73.56061506195219,6.51,0,low
St-Antoine / St-François-Xavier,45.5045770667804,-73.55918392539024,5.78,0,low
St-Antoine / de la Montagne,45.495369835210354,-73.56859177350998,5.52,0,low
St-Cuthbert / Clark,45.51567168354896,-73.57744306325912,11.53,2,medium
St-Cyril / Wiseman,45.52085479492202,-73.61573964357376,6.94,0,low
St-Denis / Ste-Catherine,45.51372291221464,-73.5603104531765,13.01,2,medium
St-Dominique / Jean-Talon,45.53520398241678,-73.6175217570053,6.5,0,low
St-Dominique / Laurier,45.52361490311454,-73.59245739877223,16.28,1,high
St-Dominique / Napoléon,45.51666442219882,-73.57722043991089,12.57,2,medium
St-Dominique / Rachel,45.51860542158676,-73.58156237103128,15.32,2,medium
St-Dominique / St-Viateur,45.52655700191558,-73.5982757806778,8.22,0,low
St-Dominique / St-Zotique,45.53226461018495,-73.6110632121563,14.25,2,medium
St-Dominique / de Bellechasse,45.52952466565309,-73.60488876700401,10.85,2,medium
St-Dominique / du Mont-Royal,45.520574929373204,-73.58577978625178,11.77,2,medium
St-Grégoire / Christophe-Colomb,45.53255611409675,-73.58993947505951,7.53,0,low
St-Hubert / Duluth,45.52242565278864,-73.57418417930603,11.13,2,medium
St-Hubert / Laurier,45.52893724049854,-73.58786880970001,10.67,2,medium
St-Hubert / René-Levesque,45.514462606612355,-73.55680687704294,5.39,0,low
St-Hubert / de Maisonneuve (nord),45.51613214980722,-73.56049686670303,7.08,0,low
St-Hubert / de Maisonneuve (sud),45.51586835126322,-73.56008380651474,12.46,2,medium
St-Jacques / Gauvin,45.50065923264611,-73.5611384269032,8.12,0,low
St-Jacques / McGill,45.50129028352463,-73.560569120585,7.05,0,low
St-Laurent / Pl. du Marché,45.50928960913111,-73.56241598725319,9.37,0,low
St-Nicolas / Place d'Youville,45.501966859101564,-73.55515256524086,8.57,0,low
St-Patrick / Thomas-Keefer,45.47801152713375,-73.57427294832632,14.53,2,medium
St-Rémi / Ste-Émilie,45.46976497412213,-73.58923405408859,7.87,0,low
St-Timothée / Ste-Catherine,45.5170563208812,-73.55770137168292,7.15,0,low
St-Urbain / Laurier,45.52164617544124,-73.59366774559021,7.09,0,low
St-Urbain / de la Gauchetière,45.50707812811467,-73.56139540672302,9.03,0,low
St-Zotique / Clark,45.53143760098197,-73.61270070075989,9.54,0,low
Stanley / René-Lévesque,45.497903945924456,-73.57077571808077,7.62,0,low
Stanley / Sherbrooke,45.50105732321463,-73.57722634080346,6.64,0,low
Ste-Catherine / Bishop,45.49658063218649,-73.5762146115303,5.31,0,low
Ste-Catherine / Dézéry,45.53938508196168,-73.54099988937377,7.45,0,low
Ste-Catherine / Sanguinet,45.512936177874096,-73.56124520301817,9.79,0,low
Ste-Catherine / St-Denis,45.513866304280505,-73.56042764151425,9.69,0,low
Ste-Catherine / St-Laurent,45.50991130818593,-73.56380604207516,17.52,1,high
Ste-Catherine / St-Mathieu,45.49384690142783,-73.57917845249176,12.96,2,medium
Ste-Catherine / Towers,45.49228068089086,-73.58096480369566,8.3,0,low
Ste-Catherine / Union,45.50370404206434,-73.56941555001556,12.87,2,medium
Ste-Famille / des Pins,45.512856179335664,-73.57692807912827,7.75,0,low
Ste-Émilie / Sir-Georges-Etienne-Cartier,45.47288664272112,-73.58518634331541,7.78,0,low
Tupper / du Fort,45.491202175002506,-73.58074486255646,6.37,0,low
Turgeon / Notre-Dame,45.47888852807208,-73.58198940753937,8.39,0,low
Union / René-Lévesque,45.50235036136798,-73.56658279895781,5.88,0,low
Union / Ste-Catherine,45.504027213143104,-73.56970220804214,10.44,2,medium
University / Milton,45.5065386376248,-73.5766088962555,24.29,1,high
University / Prince-Arthur,45.5074794530521,-73.57864737510681,10.35,2,medium
Vallières / St-Laurent,45.51896722332005,-73.5836161673069,9.94,2,medium
Valois / Ste-Catherine,45.545268258751186,-73.53733580051859,6.59,0,low
Victoria / de Maisonneuve,45.47742856483265,-73.60016942024231,7.67,0,low
Viger / Chenneville,45.50531166520915,-73.56089115142822,5.28,0,low
Villeneuve / St-Dominique,45.52224640620401,-73.58872005571203,10.27,2,medium
Villeneuve / du Parc,45.518197623521424,-73.59239235520363,8.84,0,low
Waverly / Bernard,45.52562443297396,-73.60413372516632,8.0,0,low
Waverly / St-Viateur,45.5238561444472,-73.60012650489807,11.11,2,medium
Wellington / 3e avenue,45.45749144858502,-73.56758692246072,12.33,2,medium
Wellington / Gordon,45.46115406449117,-73.56709241867065,14.77,2,medium
Wellington / de l'Église,45.46311264513108,-73.56705610964127,14.24,2,medium
Wilderton  / Van Horne,45.51014162409143,-73.6247518658638,6.9,0,low
William / Robert-Bourassa,45.49716534003792,-73.55933010578154,5.94,0,low
William / St-Henri,45.49896192482459,-73.55703516890301,7.76,0,low
Wolfe / Robin,45.51959908817399,-73.56020073872969,5.32,0,low
Workman / Vinet,45.48378886396517,-73.5750612616539,4.81,0,low
d'Orléans / Masson,45.557192,-73.569847,6.31,0,low
de Bellechasse / de Lanaudière,45.539306918976,-73.59521873295307,6.22,0,low
de Bellechasse / de St-Vallier,45.53341043363302,-73.60112428665161,10.42,2,medium
de Bleury / de Maisonneuve,45.50710632433956,-73.56861054897308,8.91,0,low
de Bordeaux / Masson,45.539009299117915,-73.58247449138733,8.8,0,low
de Bordeaux / Rachel,45.53207532297607,-73.56769983980485,8.8,0,low
de Bordeaux / Sherbrooke,45.529914321737415,-73.56302618980408,9.55,0,low
de Bordeaux / de Bellechasse,45.54325917626278,-73.59154611825943,6.87,0,low
de Bordeaux / du Mont-Royal,45.53451201270128,-73.57283771038055,12.35,2,medium
de Brébeuf / du Mont-Royal,45.52922355524467,-73.57784914976946,18.35,1,high
de Castelnau / Lajeunesse,45.54043190217008,-73.61650675535202,6.58,0,low
de Chambly / Rachel,45.54991069359101,-73.55826258659361,6.2,0,low
de Gaspé / Beaubien,45.53195791682639,-73.60700100660324,10.29,2,medium
de Gaspé / Fairmount,45.52557815939422,-73.59285570681095,6.81,0,low
de Gaspé / St-Viateur,45.5276726466961,-73.59738260507582,9.42,0,low
de Gaspé / Villeray,45.53888723230076,-73.62390697002411,7.53,0,low
de Kent / de la Côte-des-Neiges,45.50144933057703,-73.63305062055588,6.74,0,low
de L'Esplanade  / Fairmount,45.52148455865522,-73.59684884548187,13.11,2,medium
de Lanaudière / Bélanger,45.54365085053057,-73.60565051436424,7.1,0,low
de Lanaudière / Laurier,45.5333136054992,-73.58373686671257,10.92,2,medium
de Lanaudière / Marie-Anne,45.52932643090091,-73.57480645179749,7.44,0,low
de Lanaudière / du Mont-Royal,45.53011598311938,-73.57690612482425,13.87,2,medium
de Léry / Sherbrooke,45.54099971663243,-73.55826258659361,6.3,0,low
de Maisonneuve / Aylmer (est),45.50538591756765,-73.5704317688942,5.64,0,low
de Maisonneuve / Aylmer (ouest),45.50517344042331,-73.5706517100334,9.13,0,low
de Maisonneuve / Fullum,45.52797141659334,-73.54948371648788,6.12,0,low
de Maisonneuve / Greene,45.48697062,-73.58929306,8.06,0,low
de Maisonneuve / Mackay,45.496508618537995,-73.57873176795026,9.31,0,low
de Maisonneuve / Mansfield (nord),45.50238607958335,-73.57333794236183,6.84,0,low
de Maisonneuve / Mansfield (sud),45.50205386405746,-73.57346534729004,9.36,0,low
de Maisonneuve / Mansfield (sud-est),45.50229349416256,-73.5733064264059,9.96,2,medium
de Maisonneuve / Wood,45.48819793805841,-73.58807051185067,7.06,0,low
de Maisonneuve / de Bleury,45.50707739381012,-73.56909591024709,6.57,0,low
